County Cod,State Code,Census Tra,Geoid,Holc Grade,Holc Id,Id,Map Id,Msamd,Municipali,Name,Polygon Id,St Name,State,Year,Geometry,Holc Area,Holc Prop,Sheets,Tract Prop
1,6,422600,6001422600,C,C6,17,17,36084,,,6673,Oakland,CA,2019,MultiPolygon,0.248860724,0.003316325,1,0.001244179
1,6,400500,6001400500,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.003771061,1,0.008452788
1,6,401000,6001401000,C,C8,17,17,36084,,,6678,Oakland,CA,2019,Polygon,0.095343002,0.071008361,1,0.015193024
1,6,425103,6001425103,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.535019525,1,0.963824377
1,6,425102,6001425102,D,D6,17,17,36084,,,6674,Oakland,CA,2019,MultiPolygon,0.613439857,0.086812928,1,0.189569958
1,6,425104,6001425104,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.370014981,1,0.546393965
1,6,400900,6001400900,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.004130364,1,0.015434977
1,6,401700,6001401700,D,D6,17,17,36084,,,6674,Oakland,CA,2019,Polygon,0.613439857,0.002705019,1,0.000360117
1,6,423500,6001423500,D,D4,17,17,36084,,,6675,Oakland,CA,2019,MultiPolygon,0.873331116,0.037357828,1,0.133021247
1,6,424001,6001424001,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.195648184,1,0.866359471
1,6,423602,6001423602,C,C7,17,17,36084,,,6676,Oakland,CA,2019,MultiPolygon,0.508972394,0.163453049,1,0.534431289
1,6,423300,6001423300,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.272973574,1,0.849865992
1,6,400700,6001400700,D,D4,17,17,36084,,,6675,Oakland,CA,2019,MultiPolygon,0.873331116,0.006325221,1,0.016248761
1,6,403502,6001403502,C,C15,17,17,36084,,,6712,Oakland,CA,2019,Polygon,0.274434295,0.021029539,1,0.081943142
1,6,424002,6001424002,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.139828165,1,0.959710339
1,6,422900,6001422900,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.013769641,1,0.057223618
1,6,423400,6001423400,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.312529751,1,0.935798291
1,6,422800,6001422800,D,D4,17,17,36084,,,6675,Oakland,CA,2019,Polygon,0.873331116,0.004493601,1,0.024877465
1,6,423500,6001423500,C,C7,17,17,36084,,,6676,Oakland,CA,2019,MultiPolygon,0.508972394,0.279145849,1,0.579276444
1,6,423601,6001423601,C,C7,17,17,36084,,,6676,Oakland,CA,2019,MultiPolygon,0.508972394,0.227985588,1,0.572670071
1,6,423901,6001423901,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.219210297,1,0.731516317
1,6,423400,6001423400,C,C7,17,17,36084,,,6676,Oakland,CA,2019,Polygon,0.508972394,0.020541702,1,0.035846156
1,6,410500,6001410500,D,D9,17,17,36084,,,6677,Oakland,CA,2019,Polygon,0.517818404,0.190254544,1,0.352403226
1,6,402500,6001402500,D,D9,17,17,36084,,,6677,Oakland,CA,2019,Polygon,0.517818404,0.216506077,1,0.794535674
