,NAME_x,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_011E,B03002_012E,B03002_013E,B03002_014E,tract,block group,S0601_C01_047E,S1501_C01_006E,S1501_C01_014E,S1501_C01_015E,S2801_C01_001E,S2801_C01_002E,S2801_C01_012E,pct_white,pct_black,pct_native,pct_asian,pct_hisp,pct_other,median_income,pct_college,pct_hs_grad,pct_device_access,pct_internet_access,GEOID,GEOID_tract
46,"Block Group 5, Census Tract 4282, Alameda County, California",1188,985,713,0,0,195,16,0,61,0,61,203,203,0,428200,5,53255,4872,4546,2665,2661,2581,2389,0.6001683501683501,0.0,0.0,0.16414141414141414,0.17087542087542087,0.11616161616161616,53255,0.5470032840722496,0.9330870279146142,0.9699361142427658,0.8977827884254039,60014282005,6001428200
47,"Block Group 4, Census Tract 4282, Alameda County, California",1276,1157,463,36,0,281,0,0,377,0,377,119,13,0,428200,4,53255,4872,4546,2665,2661,2581,2389,0.3628526645768025,0.02821316614420063,0.0,0.22021943573667713,0.0932601880877743,0.5909090909090909,53255,0.5470032840722496,0.9330870279146142,0.9699361142427658,0.8977827884254039,60014282004,6001428200
48,"Block Group 1, Census Tract 4282, Alameda County, California",1078,902,723,0,0,179,0,0,0,0,0,176,163,0,428200,1,53255,4872,4546,2665,2661,2581,2389,0.6706864564007421,0.0,0.0,0.1660482374768089,0.16326530612244897,0.0,53255,0.5470032840722496,0.9330870279146142,0.9699361142427658,0.8977827884254039,60014282001,6001428200
49,"Block Group 1, Census Tract 4416.02, Alameda County, California",3197,2721,348,80,0,2139,139,0,15,0,15,476,80,0,441602,1,43391,5660,4935,2365,2412,2318,2316,0.10885204879574602,0.025023459493274947,0.0,0.6690647482014388,0.14888958398498592,0.05286205817954332,43391,0.4178445229681979,0.8719081272084805,0.961028192371476,0.9601990049751243,60014416021,6001441602
50,"Block Group 4, Census Tract 4416.02, Alameda County, California",1053,820,229,17,0,495,0,18,61,0,61,233,161,0,441602,4,43391,5660,4935,2365,2412,2318,2316,0.2174738841405508,0.016144349477682812,0.0,0.4700854700854701,0.22127255460588793,0.13295346628679963,43391,0.4178445229681979,0.8719081272084805,0.961028192371476,0.9601990049751243,60014416024,6001441602
51,"Block Group 2, Census Tract 4416.02, Alameda County, California",1077,1001,639,0,0,338,0,0,24,0,24,76,63,0,441602,2,43391,5660,4935,2365,2412,2318,2316,0.5933147632311978,0.0,0.0,0.3138347260909935,0.07056638811513463,0.04456824512534819,43391,0.4178445229681979,0.8719081272084805,0.961028192371476,0.9601990049751243,60014416022,6001441602
52,"Block Group 3, Census Tract 4416.02, Alameda County, California",2786,2134,551,47,0,1265,271,0,0,0,0,652,77,0,441602,3,43391,5660,4935,2365,2412,2318,2316,0.1977745872218234,0.016870064608758076,0.0,0.4540559942569993,0.2340272792534099,0.09727207465900933,43391,0.4178445229681979,0.8719081272084805,0.961028192371476,0.9601990049751243,60014416023,6001441602
53,"Block Group 1, Census Tract 4358, Alameda County, California",1265,702,308,27,0,334,0,19,14,0,14,563,372,0,435800,1,40507,3828,3174,1027,1652,1605,1562,0.24347826086956523,0.021343873517786563,0.0,0.26403162055335966,0.4450592885375494,0.03715415019762846,40507,0.26828631138975967,0.829153605015674,0.9715496368038741,0.9455205811138014,60014358001,6001435800
54,"Block Group 4, Census Tract 4358, Alameda County, California",1494,943,251,15,0,599,0,0,78,10,68,551,32,0,435800,4,40507,3828,3174,1027,1652,1605,1562,0.1680053547523427,0.010040160642570281,0.0,0.4009370816599732,0.3688085676037483,0.10441767068273092,40507,0.26828631138975967,0.829153605015674,0.9715496368038741,0.9455205811138014,60014358004,6001435800
55,"Block Group 2, Census Tract 4358, Alameda County, California",1274,668,206,0,0,430,0,0,32,0,32,606,251,37,435800,2,40507,3828,3174,1027,1652,1605,1562,0.16169544740973313,0.0,0.0,0.33751962323390894,0.47566718995290425,0.05023547880690738,40507,0.26828631138975967,0.829153605015674,0.9715496368038741,0.9455205811138014,60014358002,6001435800
