Countyfp,Blkgrpce,Funcstat,Geoid,Latitude,Longitude,Mtfcc,Namelsad,Statefp,Tractce,Aland,Awater,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,3,S,60014017003,37.813905,-122.315532,G5030,Block Group 3,6,401700,4181167,5813128,37.811589,-122.312124,0.95,nearest_street,1119,Maritime St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau
1,2,S,60014065002,37.787772,-122.2130573,G5030,Block Group 2,6,406500,106925,0,37.78777,-122.213084,1,rooftop,2415,Bartlett St,,,Oakland,CA,Alameda County,94601,US,Alameda
1,3,S,60014098003,37.7582662,-122.152588,G5030,Block Group 3,6,409800,387985,0,37.758115,-122.152527,1,rooftop,3456,Calandria Ave,,,Oakland,CA,Alameda County,94605,US,Alameda
1,2,S,60014099002,37.7584213,-122.1454985,G5030,Block Group 2,6,409900,385973,0,37.759208,-122.145749,0.99,rooftop,3964,Fairway Ave,,,Oakland,CA,Alameda County,94605,US,Alameda
1,4,S,60014045024,37.829419,-122.2055607,G5030,Block Group 4,6,404502,1079097,0,37.829356,-122.205598,1,rooftop,1949,Drake Dr,,,Oakland,CA,Alameda County,94611,US,Alameda
1,1,S,60014085001,37.7634083,-122.1780247,G5030,Block Group 1,6,408500,152034,0,37.76331,-122.177951,1,rooftop,2321,Maywood Ave,,,Oakland,CA,Alameda County,94605,US,Alameda
1,2,S,60014225002,37.8772704,-122.256666,G5030,Block Group 2,6,422500,116594,0,37.87727,-122.256595,1,rooftop,2704,Le Conte Ave,,,Berkeley,CA,Alameda County,94709,US,Alameda
1,1,S,60014239011,37.8539493,-122.2642841,G5030,Block Group 1,6,423901,136211,0,37.853842,-122.264403,1,rooftop,3046,Wheeler St,,,Berkeley,CA,Alameda County,94705,US,Alameda
1,1,S,60014018001,37.8108844,-122.2971077,G5030,Block Group 1,6,401800,155999,0,37.810657,-122.297183,1,rooftop,1685,12th St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,3,S,60014046003,37.823498,-122.1922817,G5030,Block Group 3,6,404600,608862,0,37.823411,-122.192286,1,rooftop,2885,Chelsea Dr,,,Oakland,CA,Alameda County,94611,US,Alameda
1,3,S,60014099003,37.7620676,-122.1318066,G5030,Block Group 3,6,409900,1885314,0,37.76136,-122.131958,1,rooftop,69,Donna Way,,,Oakland,CA,Alameda County,94605,US,Alameda
1,4,S,60014046004,37.8159582,-122.1905688,G5030,Block Group 4,6,404600,3186606,0,37.815874,-122.190692,1,rooftop,68,Weybridge Ct,,,Oakland,CA,Alameda County,94611,US,Alameda
1,1,S,60014102001,37.7488168,-122.1601561,G5030,Block Group 1,6,410200,265551,0,37.748928,-122.160244,1,rooftop,2316,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
1,3,S,60014065003,37.7852273,-122.218786,G5030,Block Group 3,6,406500,251514,0,37.785183,-122.218766,1,rooftop,2239,34th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
1,2,S,60014024002,37.8101505,-122.281949,G5030,Block Group 2,6,402400,90089,0,37.81012,-122.282196,1,rooftop,1536,Filbert St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,1,S,60014022001,37.8110283,-122.293106,G5030,Block Group 1,6,402200,171731,0,37.810975,-122.293217,1,rooftop,1451,14th St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,2,S,60014022002,37.8069067,-122.2949686,G5030,Block Group 2,6,402200,112638,0,37.807043,-122.294939,1,rooftop,1473,9th St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,1,S,60014024001,37.8127164,-122.2826432,G5030,Block Group 1,6,402400,246922,0,37.812611,-122.282363,1,rooftop,1908,Linden St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,1,S,60014025001,37.8066561,-122.2844438,G5030,Block Group 1,6,402500,263581,0,37.806723,-122.284493,1,rooftop,1026,Linden St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,2,S,60014025002,37.8033357,-122.285651,G5030,Block Group 2,6,402500,101873,0,37.803648,-122.285846,1,rooftop,1050,7th St,,,Oakland,CA,Alameda County,94607,US,Alameda
1,2,S,60014067002,37.799558,-122.2007395,G5030,Block Group 2,6,406700,154047,0,37.799605,-122.200629,1,rooftop,3062,Arizona St,,,Oakland,CA,Alameda County,94602,US,Alameda
1,3,S,60014067003,37.7998603,-122.2073513,G5030,Block Group 3,6,406700,360059,0,37.799969,-122.207638,1,rooftop,3707,Coolidge Ave,,,Oakland,CA,Alameda County,94602,US,Alameda
1,4,S,60014099004,37.7518334,-122.121086,G5030,Block Group 4,6,409900,638301,0,37.752054,-122.121321,1,rooftop,4731,Grass Valley Rd,,,Oakland,CA,Alameda County,94605,US,Alameda
